sale_id,property_id,sale_date,sale_price
S00066,P0035,2026-05-26,366635.36
S00067,P0036,2025-05-23,731985.11
S00068,P0036,2026-05-17,794557.69
S00069,P0037,2025-03-16,465952.55
S00070,P0037,2026-08-09,476991.75
S00071,P0038,2025-01-15,965917.13
S00072,P0038,2026-05-11,1052824.95
S00073,P0039,2025-01-21,456038.28
S00074,P0039,2026-04-23,469751.16
S00075,P0040,2025-03-13,327417.96
S00076,P0040,2026-10-17,351197.75
S00077,P0041,2025-09-13,684804.69
S00078,P0041,2026-06-28,750815.72
S00079,P0042,2026-02-17,856966.96
S00080,P0043,2024-12-25,649964.5
S00081,P0043,2025-04-21,654769.46
S00082,P0043,2026-05-08,714426.21
S00083,P0044,2026-02-20,371365.28
S00084,P0045,2025-10-10,843560.68
S00085,P0045,2026-05-07,899209.32
S00086,P0046,2026-01-20,826179.6
S00087,P0047,2024-06-24,451372.39
S00088,P0047,2025-04-05,476942.64
S00089,P0047,2026-09-09,502508.59
S00090,P0048,2025-09-12,647121.25
S00091,P0048,2026-02-15,673721.98
S00092,P0049,2025-01-10,1074075.95
S00093,P0049,2026-09-05,1165655.79
S00094,P0050,2025-11-12,579092.59
S00095,P0050,2026-07-09,620156.5
S00096,P0051,2025-03-26,719977.58
S00097,P0051,2026-03-05,808513.29
S00098,P0052,2026-12-03,401489.74
S00099,P0053,2024-08-23,513760.31
S00100,P0053,2025-02-03,580146.2
S00101,P0053,2026-10-21,602838.08
S00102,P0054,2025-08-13,436936.76
S00103,P0054,2026-11-09,465277.25
S00104,P0055,2025-11-25,510654.03
S00105,P0055,2026-05-20,535781.06
S00106,P0056,2024-10-20,461942.44
S00107,P0056,2025-11-27,483691.28
S00108,P0056,2026-01-06,525473.41
S00109,P0057,2025-06-25,992160.47
S00110,P0057,2026-10-03,1077837.19
S00111,P0058,2025-01-08,354484.21
S00112,P0058,2026-10-02,386656.98
S00113,P0059,2026-06-03,529720.68
S00114,P0060,2025-10-15,504259.57
S00115,P0060,2026-02-08,546717.59
S00116,P0061,2025-06-24,1297954.58
S00117,P0061,2026-02-05,1402300.55
S00118,P0062,2026-05-19,297219.44
S00119,P0063,2025-08-26,420500.0
S00120,P0063,2026-04-11,424695.17
S00121,P0064,2024-07-14,336797.83
S00122,P0064,2025-11-20,384691.47
S00123,P0064,2026-06-04,382443.57
S00124,P0065,2025-03-22,666119.8
S00125,P0065,2026-09-03,767247.64
S00126,P0066,2026-09-27,585368.74
S00127,P0067,2024-04-15,638123.78
S00128,P0067,2025-12-26,709865.82
S00129,P0067,2026-08-27,727236.9
S00130,P0068,2026-02-23,653681.42
S00131,P0069,2026-01-11,510335.3
S00132,P0070,2024-03-18,776636.94
S00133,P0070,2025-05-08,827228.89
S00134,P0070,2026-01-08,871853.73
S00135,P0071,2025-06-03,697491.11
S00136,P0071,2026-09-17,753254.89
S00137,P0072,2025-06-05,616856.12
S00138,P0072,2026-09-11,617196.88
S00139,P0073,2025-01-25,428241.89
S00140,P0073,2026-05-12,443560.56
S00141,P0074,2024-10-27,588167.81
S00142,P0074,2025-05-11,610012.27
S00143,P0074,2026-08-20,634773.74
S00144,P0075,2025-03-01,451268.2
S00145,P0075,2026-01-05,451107.41
S00146,P0076,2025-02-01,407382.79
S00147,P0076,2026-09-04,438205.65
S00148,P0077,2025-06-22,909052.43
S00149,P0077,2026-05-28,978535.77
S00150,P0078,2025-03-20,1632694.9
S00151,P0078,2026-12-24,1774626.62
S00152,P0079,2025-02-17,347960.36
S00153,P0079,2026-12-08,363004.63
S00154,P0080,2024-12-20,577745.72
S00155,P0080,2025-01-03,601267.23
S00156,P0080,2026-11-25,618897.41
S00157,P0081,2025-06-20,385811.58
S00158,P0081,2026-12-11,414758.74
S00159,P0082,2026-04-28,479491.58
S00160,P0083,2025-01-02,1062891.64
S00161,P0083,2026-11-16,1059714.81
S00162,P0084,2025-07-17,289884.86
S00163,P0084,2026-10-22,302781.14
S00164,P0085,2026-09-15,358411.78
S00165,P0086,2025-07-19,1243188.86
S00166,P0086,2026-12-28,1362384.05
S00167,P0087,2024-08-11,925285.86
S00168,P0087,2025-07-23,969094.19
S00169,P0087,2026-08-28,998759.59
S00170,P0088,2025-11-26,1100569.14
S00171,P0088,2026-04-09,1166621.15
S00172,P0089,2025-06-25,472921.59
S00173,P0089,2026-12-03,510790.38
S00174,P0090,2026-11-08,773873.55
S00175,P0091,2025-02-21,440822.72
S00176,P0091,2026-09-24,472687.41
S00177,P0092,2025-09-17,699048.52
S00178,P0092,2026-03-28,794061.63
S00179,P0093,2025-07-17,345760.95
S00180,P0093,2026-07-22,342526.61
S00181,P0094,2025-01-22,389620.82
S00182,P0094,2026-05-06,402670.77
S00183,P0095,2025-04-22,1192352.38
S00184,P0095,2026-02-17,1223444.2
S00185,P0096,2025-08-26,615485.61
S00186,P0096,2026-03-17,669149.03
S00187,P0097,2026-02-16,566488.96
S00188,P0098,2024-07-17,555297.56
S00189,P0098,2025-01-10,600993.63
S00190,P0098,2026-12-18,610073.82
S00191,P0099,2025-02-20,489661.79
S00192,P0099,2026-10-22,501588.06
S00193,P0100,2026-06-08,468894.13
S00194,P0101,2025-09-16,572690.69
S00195,P0101,2026-03-26,613861.71
S00196,P0102,2024-04-02,971643.37
S00197,P0102,2025-02-07,966221.7
S00198,P0102,2026-10-24,1028475.88
S00199,P0103,2025-07-15,1007953.83
S00200,P0103,2026-06-10,1095588.48
S00201,P0104,2026-03-07,307632.99
S00202,P0105,2025-09-21,448058.52
S00203,P0105,2026-02-27,472859.33
S00204,P0106,2025-11-16,305338.16
S00205,P0106,2026-01-17,312028.89
S00206,P0107,2025-02-12,415356.72
S00207,P0107,2026-12-08,445562.83
S00208,P0108,2024-02-17,649459.12
S00209,P0108,2025-12-19,702925.79
S00210,P0108,2026-01-03,768618.07
S00211,P0109,2024-03-26,604038.55
S00212,P0109,2025-12-03,684461.58
S00213,P0109,2026-07-08,710295.46
S00214,P0110,2025-04-23,329949.51
S00215,P0110,2026-11-05,342344.61
S00216,P0111,2025-01-03,303382.54
S00217,P0111,2026-06-28,319997.87
S00218,P0112,2025-07-09,602590.24
S00219,P0112,2026-05-08,621635.03
S00220,P0113,2025-10-05,1326930.56
S00221,P0113,2026-08-11,1360247.13
S00222,P0114,2024-12-07,924340.93
S00223,P0114,2025-07-22,988722.26
S00224,P0114,2026-11-10,1085986.2
S00225,P0115,2025-04-22,520885.53
S00226,P0115,2026-03-21,549361.05
S00227,P0116,2025-10-23,495610.47
S00228,P0116,2026-06-01,551383.61
S00229,P0117,2025-02-01,356291.42
S00230,P0117,2026-11-04,401064.19
S00231,P0118,2025-04-07,820160.12
S00232,P0118,2026-12-26,862404.42
S00233,P0119,2025-03-27,1186538.06
S00234,P0119,2026-05-20,1308473.46
S00235,P0120,2026-11-06,263577.92
S00236,P0121,2024-08-14,295936.62
S00237,P0121,2025-08-06,313950.93
S00238,P0121,2026-01-26,342255.55
S00239,P0122,2024-02-24,492928.46
S00240,P0122,2025-04-10,555647.1
S00241,P0122,2026-02-15,618303.05
S00242,P0123,2025-03-11,1137579.99
S00243,P0123,2026-09-22,1221180.9
S00244,P0124,2026-07-15,411829.85
S00245,P0125,2024-07-07,1113653.22
S00246,P0125,2025-04-16,1150087.91
S00247,P0125,2026-10-05,1248278.57
S00248,P0126,2026-12-05,450831.54
S00249,P0127,2025-04-16,474053.51
S00250,P0127,2026-10-08,491091.51
S00251,P0128,2025-03-21,831639.44
S00252,P0128,2026-03-03,887874.96
S00253,P0129,2025-11-03,1032749.03
S00254,P0129,2026-10-20,1061738.52
S00255,P0130,2026-06-11,830270.8
S00256,P0131,2026-09-10,507124.25
S00257,P0132,2025-05-23,1182420.53
S00258,P0132,2026-04-02,1243200.07
S00259,P0133,2025-12-09,495653.52
S00260,P0133,2026-03-24,533651.5
S00261,P0134,2026-10-22,1029000.91
S00262,P0135,2024-04-11,518310.81
S00263,P0135,2025-02-19,535344.27
S00264,P0135,2026-09-22,551554.9
S00265,P0136,2026-10-16,293469.47
S00266,P0137,2025-04-14,854314.2
S00267,P0137,2026-12-09,978762.9
S00268,P0138,2026-03-08,431807.75
S00269,P0139,2026-06-25,481900.08
S00270,P0140,2025-01-22,685810.63
S00271,P0140,2026-07-28,717011.86
S00272,P0141,2026-11-21,791700.87
S00273,P0142,2024-08-01,588882.06
S00274,P0142,2025-07-06,648728.59
S00275,P0142,2026-08-05,682702.68
S00276,P0143,2025-04-21,1138822.37
S00277,P0143,2026-07-26,1241774.15
S00278,P0144,2026-08-17,610552.65
S00279,P0145,2025-12-23,689811.58
S00280,P0145,2026-10-01,733897.43
S00281,P0146,2025-03-11,790477.85
S00282,P0146,2026-06-02,879614.25
S00283,P0147,2025-12-18,547137.3
S00284,P0147,2026-10-26,596693.65
S00285,P0148,2026-10-04,367125.82
S00286,P0149,2025-12-01,391849.72
S00287,P0149,2026-03-14,399924.49
S00288,P0150,2025-07-06,775702.39
S00289,P0150,2026-02-11,790624.52
S00290,P0151,2025-09-09,437399.92
S00291,P0151,2026-07-19,471882.06
S00292,P0152,2025-05-26,873895.52
S00293,P0152,2026-02-21,887016.05
S00294,P0153,2024-06-26,345523.28
S00295,P0153,2025-09-02,375539.69
S00296,P0153,2026-09-14,392686.5
S00297,P0154,2026-07-03,1216270.0
S00298,P0155,2024-07-04,345016.96
S00299,P0155,2025-02-04,373470.3
S00300,P0155,2026-02-26,398626.55
S00301,P0156,2025-04-02,626637.71
S00302,P0156,2026-05-12,655200.61
S00303,P0157,2025-12-16,393156.21
S00304,P0157,2026-06-27,432488.08
S00305,P0158,2024-05-12,382217.17
S00306,P0158,2025-09-13,393908.09
S00307,P0158,2026-06-16,428001.13
S00308,P0159,2026-04-28,444981.8
S00309,P0160,2025-07-13,1412156.3
S00310,P0160,2026-08-09,1471641.74
S00311,P0161,2025-11-10,366749.95
S00312,P0161,2026-09-25,396233.11
S00313,P0162,2026-04-22,793113.22
S00314,P0163,2025-03-22,1212684.66
S00315,P0163,2026-04-24,1262796.55
S00316,P0164,2024-07-17,375608.91
S00317,P0164,2025-03-07,413242.29
S00318,P0164,2026-10-15,424879.23
S00319,P0165,2026-02-05,526243.78
S00320,P0166,2026-04-08,387827.81
S00321,P0167,2025-03-11,496724.64
S00322,P0167,2026-08-12,561102.58
S00323,P0168,2025-10-02,406175.11
S00324,P0168,2026-01-22,431092.7
S00325,P0169,2025-10-20,741713.26
S00326,P0169,2026-07-27,788566.07
S00327,P0170,2025-12-16,280748.54
S00328,P0170,2026-01-01,304780.99
S00329,P0171,2025-01-28,301053.77
S00330,P0171,2026-11-11,308657.54
S00331,P0172,2026-08-26,606637.85
S00332,P0173,2025-11-27,769232.18
S00333,P0173,2026-08-04,862788.21
S00334,P0174,2025-04-16,525993.11
S00335,P0174,2026-09-20,557099.49
S00336,P0175,2026-04-03,572410.82
S00337,P0176,2025-09-18,692302.33
S00338,P0176,2026-11-15,700143.28
S00339,P0177,2025-12-04,539564.38
S00340,P0177,2026-03-16,575588.95
S00341,P0178,2026-08-22,1183743.82
S00342,P0179,2025-09-13,422984.0
S00343,P0179,2026-04-09,424108.03
S00344,P0180,2025-12-21,599705.64
S00345,P0180,2026-11-11,670136.78
S00346,P0181,2026-03-10,463071.77
S00347,P0182,2025-11-02,333897.38
S00348,P0182,2026-07-14,353799.67
S00349,P0183,2025-02-13,529879.74
S00350,P0183,2026-05-18,528623.85
S00351,P0184,2025-09-08,369540.59
S00352,P0184,2026-09-03,394202.85
S00353,P0185,2024-08-08,398136.29
S00354,P0185,2025-10-20,418593.81
S00355,P0185,2026-07-26,452924.46
S00356,P0186,2026-09-18,630761.43
S00357,P0187,2025-02-19,1224602.48
S00358,P0187,2026-05-14,1326435.82
S00359,P0188,2025-11-10,420567.41
S00360,P0188,2026-05-25,442374.23
S00361,P0189,2025-09-18,348330.64
S00362,P0189,2026-05-07,367050.29
S00363,P0190,2025-09-15,1136891.92
S00364,P0190,2026-02-10,1140938.96
S00365,P0191,2026-12-19,476872.08
S00366,P0192,2025-08-12,1503718.06
S00367,P0192,2026-11-20,1557638.17
S00368,P0193,2026-09-16,915003.77
S00369,P0194,2026-09-05,908602.79
S00370,P0195,2025-07-16,560909.3
S00371,P0195,2026-11-11,610793.72
S00372,P0196,2024-06-16,1044910.55
S00373,P0196,2025-03-15,1129430.61
S00374,P0196,2026-02-17,1174635.71
S00375,P0197,2026-10-19,303536.59
S00376,P0198,2025-03-08,319922.3
S00377,P0198,2026-03-20,335263.66
S00378,P0199,2024-03-20,463437.66
S00379,P0199,2025-01-26,479257.13
S00380,P0199,2026-02-03,524928.69
S00381,P0200,2024-05-16,1483924.65
S00382,P0200,2025-02-10,1607968.73
S00383,P0200,2026-01-23,1705654.37
S00384,P0201,2025-10-09,577964.4
S00385,P0201,2026-09-26,623158.66
S00386,P0202,2026-02-07,452801.09
S00387,P0203,2025-10-02,438987.27
S00388,P0203,2026-07-20,479773.47
S00389,P0204,2025-03-03,426589.58
S00390,P0204,2026-07-12,481452.4
S00391,P0205,2024-09-04,272202.72
S00392,P0205,2025-09-10,285769.83
S00393,P0205,2026-05-18,305471.19
S00394,P0206,2025-04-26,467293.36
S00395,P0206,2026-01-23,493832.42
S00396,P0207,2024-08-24,463083.62
S00397,P0207,2025-04-08,485414.36
S00398,P0207,2026-04-27,490449.06
S00399,P0208,2025-03-25,465341.13
S00400,P0208,2026-05-13,506720.62
S00401,P0209,2025-10-28,1370195.22
S00402,P0209,2026-09-09,1447432.78
S00403,P0210,2026-05-26,374928.56
S00404,P0211,2025-05-09,1010310.42
S00405,P0211,2026-12-06,1046211.07
S00406,P0212,2026-10-07,579435.93
S00407,P0213,2024-10-19,952244.7
S00408,P0213,2025-02-03,978096.84
S00409,P0213,2026-05-23,1031194.58
S00410,P0214,2025-02-07,1285153.55
S00411,P0214,2026-08-18,1325708.75
S00412,P0215,2026-03-05,588946.6
S00413,P0216,2025-11-21,960635.17
S00414,P0216,2026-06-16,989905.0
S00415,P0217,2025-05-01,317924.5
S00416,P0217,2026-05-20,353792.95
S00417,P0218,2025-12-22,1050828.43
S00418,P0218,2026-11-24,1049497.89
S00419,P0219,2025-05-09,614601.55
S00420,P0219,2026-08-24,611133.82
S00421,P0220,2024-08-06,472016.81
S00422,P0220,2025-05-27,488850.63
S00423,P0220,2026-12-08,544764.62
S00424,P0221,2024-12-18,646164.44
S00425,P0221,2025-04-12,682147.92
S00426,P0221,2026-11-07,755910.56
S00427,P0222,2025-02-22,304847.08
S00428,P0222,2026-11-02,323612.08
S00429,P0223,2025-08-18,482169.73
S00430,P0223,2026-12-16,489583.58
S00431,P0224,2025-07-24,1310332.52
S00432,P0224,2026-01-20,1328616.67
S00433,P0225,2025-03-28,623240.95
S00434,P0225,2026-02-16,624558.72
S00435,P0226,2025-09-24,525568.8
S00436,P0226,2026-07-27,563774.71
S00437,P0227,2025-03-18,567738.49
S00438,P0227,2026-07-24,625479.9
S00439,P0228,2026-06-28,1358614.56
S00440,P0229,2025-09-05,421910.8
S00441,P0229,2026-04-07,449268.18
S00442,P0230,2026-10-13,425350.19
S00443,P0231,2024-07-14,612574.82
S00444,P0231,2025-02-28,646654.63
S00445,P0231,2026-01-21,699475.49
S00446,P0232,2024-10-17,294699.54
S00447,P0232,2025-03-05,308870.01
S00448,P0232,2026-08-19,339245.92
S00449,P0233,2025-04-08,314510.45
S00450,P0233,2026-07-11,327819.94
S00451,P0234,2026-08-02,725219.86
S00452,P0235,2024-06-07,554001.06
S00453,P0235,2025-05-18,614294.2
S00454,P0235,2026-12-05,661408.28
S00455,P0236,2024-06-28,545719.69
S00456,P0236,2025-05-28,559575.42
S00457,P0236,2026-09-23,602972.92
S00458,P0237,2025-11-12,908692.95
S00459,P0237,2026-09-09,902717.08
S00460,P0238,2024-04-14,1137916.02
S00461,P0238,2025-10-11,1153195.74
S00462,P0238,2026-03-07,1231637.11
S00463,P0239,2024-06-14,368417.35
S00464,P0239,2025-05-15,380750.42
S00465,P0239,2026-12-09,422155.76
S00466,P0240,2026-10-16,941896.11
S00467,P0241,2024-03-15,1252942.3
S00468,P0241,2025-08-23,1362408.13
S00469,P0241,2026-07-25,1395638.1
S00470,P0242,2026-01-07,1296572.24
S00471,P0243,2025-12-18,424139.14
S00472,P0243,2026-07-11,418072.37
S00473,P0244,2026-09-20,622953.8
S00474,P0245,2025-08-10,613852.37
S00475,P0245,2026-04-01,661529.07
S00476,P0246,2026-09-09,1152512.73
S00477,P0247,2025-11-10,715742.88
S00478,P0247,2026-12-23,775700.27
S00479,P0248,2024-06-17,1034174.67
S00480,P0248,2025-04-23,1088941.5
S00481,P0248,2026-11-17,1133701.2
S00482,P0249,2025-10-08,535883.94
S00483,P0249,2026-01-15,568877.88
S00484,P0250,2025-09-18,1214225.24
S00485,P0250,2026-06-13,1313855.04
