order_id,order_date,region,category,product,customer,quantity,unit_price,sales,cost
ORD-00104,2026-03-24,Lahore,Furniture,Bookshelf,Delta Mart,3,24166.14,"72,498.42",50986.11
ORD-00493,2026-05-10,Karachi,Furniture,Bookshelf,Beta Traders,5,24542.91,122714.55,84182.1
ORD-00118,2026-05-14,Lahore,Office Supplies,Ink Cartridge,Delta Traders,1,9262.88,9262.88,7114.03
ORD-00556,05-02-2026,Lahore,Furniture,Filing Cabinet,Horizon Solutions,2,31977.35,63954.7,48140.08
ORD-00355,2026-03-20,Karachi,Home Appliances,Air Fryer,Delta Ltd,1,29554.36,29554.36,20575.85
ORD-00491,07/02/2026,Lahore,Clothing,Formal Shirt,Zenith Mart,5,6340.19,31700.95,19782.95
ORD-00358,2026-06-24,Islamabad,Clothing,Jacket,Crescent Industries,1,16698.72,16698.72,11238.18
ORD-00306,2026-01-27,Karachi,Furniture,Study Desk,Pak Enterprises,3,46081.9,138245.7,108612.3
ORD-00445,2026-05-22,islamabad,FURNITURE,Study Desk,Crescent Co,4,51346.44,205385.76,136805.6
ORD-00153,2026-05-14,Faisalabad,Furniture,Study Desk,Beta Solutions,4,46791.74,187166.96,138527.28
ORD-00135,2026-02-12,Karachi,Clothing,Formal Shirt,Alpha Stores,2,6767.26,13534.52,7412.0
ORD-00534,2026-06-15,Rawalpindi, Clothing ,Jacket,Sigma Stores,6,18562.26,111373.56,68332.32
ORD-00224,2026-06-13,Faisalabad,Clothing,Jacket,Vertex Co,5,16901.81,84509.05,57237.6
ORD-00026,2026-01-07,Faisalabad,Electronics,Wireless Earbuds,Metro Co,4,14196.99,56787.96,35836.92
ORD-00576,2026-03-04,Islamabad,Clothing,Jacket,Crescent Ltd,6,16332.36,97994.16,69028.5
ORD-00116,2026-05-17,Islamabad,Clothing,Jacket,Crescent Enterprises,6,18625.69,111754.14,67447.98
ORD-00480,2026-01-03,Islamabad,Furniture,Study Desk,West Industries,4,45427.58,181710.32,144464.96
ORD-00264,2026-01-09, Rawalpindi ,Electronics,Monitor,Unity Industries,6,48984.49,293906.94,239386.32
ORD-00076,2026-03-02,Lahore,Clothing,Trousers,Royal Enterprises,6,8179.4,49076.4,30205.14
ORD-00542,2026-03-08,Lahore,Clothing,Jacket,Green Traders,6,17647.99,105887.94,69414.24
ORD-00435,2026-05-22,Karachi,Electronics,Monitor,Prime Ltd,2,51839.24,103678.48,79792.54
ORD-00166,2026-05-31,Karachi,Home Appliances,Vacuum Cleaner,Prime Solutions,6,33265.43,199592.58,147354.54
ORD-00002,2026-02-10,Karachi,Home Appliances,Electric Kettle,Nexus Industries,1,8023.25,8023.25,5470.13
ORD-00310,2026-06-01,Lahore,Home Appliances,Electric Kettle,Nexus Ltd,1,7940.89,7940.89,5440.72
ORD-00530,2026-03-02,Lahore,Home Appliances,Microwave Oven,Falcon Traders,1,38760.36,38760.36,28732.51
ORD-00131,2026-01-07,Karachi,clothing,Trousers,Indus Mart,6,8107.85,48647.1,31047.3
ORD-00292,2026-02-17,ISLAMABAD,Home Appliances,Air Fryer,Vertex Industries,3,28422.03,85266.09,65995.44
ORD-00240,2026-06-07,Karachi,Electronics,Laptop,Falcon Mart,3,174255.44,522766.32,"PKR 456,424.29"
ORD-00195,2026-04-14,Lahore,Furniture,Office Chair,Indus Enterprises,5,40367.6,201838.0,134188.65
ORD-00298,2026-04-03,Faisalabad,Clothing,Polo Shirt,West Traders,6,5053.16,30318.96,16587.0
ORD-00404,2026-06-21,Lahore,Office Supplies,Printer Paper Box,West Enterprises,6,4115.66,24693.96,17502.84
ORD-00205,2026-03-17,Lahore,Electronics,Keyboard,Pak Mart,5,12094.02,60470.1,38776.8
ORD-00139,2026-02-03,Karachi,Home Appliances,Electric Kettle,Horizon Solutions,3,8482.27,25446.81,16644.48
ORD-00342,2026-01-27,Lahore,Furniture,Office Chair,Delta Traders,1,39795.42,39795.42,27296.07
ORD-00436,2026-03-21,Lahore,clothing,Formal Shirt,Pak Enterprises,2,6115.25,12230.5,7601.3
ORD-00035,2026-02-23,Karachi,Electronics,Keyboard,Zenith Mart,1,11918.5,11918.5,7728.64
ORD-00525,2026-04-12,Faisalabad,Home Appliances,Electric Kettle,Alpha Traders,4,8179.91,"32,719.64",23332.0
ORD-00482,2026-04-21,Karachi,Home Appliances,Microwave Oven,Royal Solutions,3,41401.29,"124,203.87",91609.2
ORD-00257,2026-06-07,Karachi,Home Appliances,Electric Kettle,Sigma Enterprises,3,8482.94,25448.82,16296.75
ORD-00142,2026-01-13,Faisalabad,Furniture,Office Chair,Horizon Solutions,4,39234.31,156937.24,104466.32
ORD-00300,2026-01-04,Rawalpindi,Furniture,Study Desk,,1,46208.71,46208.71,35011.84
ORD-00201,2026-05-24,Karachi,Furniture,Filing Cabinet,Delta Stores,6,30422.73,182536.38,146130.0
ORD-00141,2026-01-25,karachi,Electronics,Smartphone,Crescent Industries,2,94052.56,188105.12,150488.84
ORD-00171,2026-04-13,faisalabad,Office Supplies,Desk Organizer,Delta Solutions,4,3287.45,13149.8,7825.64
ORD-00063,10/01/2026,Faisalabad,Electronics,Laptop,West Traders,5,188535.71,942678.55,731451.7
ORD-00187,17/05/2026,Rawalpindi,Electronics,Keyboard,Unity Enterprises,1,12939.15,"12,939.15",7466.62
ORD-00432,2026-05-11,Lahore,Electronics,Smartphone,Alpha Mart,1,93492.04,93492.04,73855.34
ORD-00559,2026-05-09,Faisalabad,Clothing,Polo Shirt,Green Co,3,5058.82,15176.46,8357.55
ORD-00320,2026-02-11,Faisalabad,Office Supplies,Desk Organizer,Sigma Mart,1,3107.54,3107.54,1820.22
ORD-00208,2026-05-07,Islamabad,Electronics,Smartphone,West Solutions,5,95259.92,476299.6,369439.55
ORD-00183,09/02/2026,Multan,Clothing,Jacket,Crescent Ltd,4,18348.51,73394.04,45024.72
ORD-00061,2026-04-13,Karachi,Furniture,Bookshelf,Unity Stores,2,22594.97,45189.94,34452.96
ORD-00204,2026-02-21,Karachi,Electronics,Wireless Earbuds,Nexus Ltd,6,15289.74,91738.44,56241.06
ORD-00163,2026-02-27,Rawalpindi,furniture,Bookshelf,Sigma Traders,5,23378.58,116892.9,87985.3
ORD-00439,2026-02-27,Lahore,Clothing,Formal Shirt,Beta Solutions,3,6945.24,20835.72,12191.25
ORD-00193,2026-01-03,Faisalabad,Clothing,Trousers,West Solutions,5,7798.66,"38,993.30",24631.0
ORD-00464,2026-05-29,Multan,Electronics,Smartphone,Crescent Mart,3,94991.32,284973.96,220718.31
ORD-00081,25/05/2026,Faisalabad,Electronics,Keyboard,Prime Traders,3,12845.87,38537.61,24024.69
ORD-00516,2026-03-18,Lahore,Clothing,Polo Shirt,Green Solutions,3,4696.42,14089.26,8247.6
ORD-00499,2026-01-21,Karachi,Office Supplies,Printer Paper Box,Nexus Co,1,4218.86,4218.86,2917.57
ORD-00574,2026-03-07,karachi,Office Supplies,Ink Cartridge,Horizon Mart,5,9632.96,48164.8,33463.1
ORD-00367,2026-01-07,Karachi,Electronics,Keyboard,Horizon Solutions,6,11751.65,70509.9,48154.44
ORD-00242,2026-06-14,Lahore,Furniture,Office Chair,Beta Co,2,38296.61,76593.22,53436.3
ORD-00514,2026-02-12,Faisalabad,Home Appliances,Vacuum Cleaner,Indus Industries,3,31320.89,93962.67,74947.44
ORD-00140,2026-03-09,Faisalabad,Furniture,Office Chair,Crescent Stores,2,40104.77,80209.54,53070.08
ORD-00323,2026-02-28,Karachi,Office Supplies,Notebook Pack,Jinnah Solutions,1,1782.28,1782.28,1092.18
ORD-00422,2026-05-19,Karachi,Furniture,Bookshelf,Pak Stores,2,22328.04,44656.08,34446.0
ORD-00465,2026-03-22,Karachi,Electronics,Smartphone,Beta Enterprises,6,99479.22,596875.32,460863.48
ORD-00244,2026-02-11,Karachi,Furniture,Bookshelf,Unity Solutions,1,24205.74,24205.74,16802.95
ORD-00014,2026-03-31,Lahore,Electronics,Keyboard,Unity Traders,6,12192.22,73153.32,49064.46
ORD-00122,2026-05-24,Islamabad,Furniture,Filing Cabinet,Indus Industries,4,30562.82,122251.28,94614.72
ORD-00005,2026-05-24,Lahore,Clothing,Jacket,Sigma Enterprises,2,18892.98,37785.96,21589.86
ORD-00151,2026-05-27,Karachi,Electronics,Laptop,Sigma Stores,3,194913.15,584739.45,449554.05
ORD-00438,2026-01-06,Karachi,Clothing,Polo Shirt,Indus Co,2,4464.87,8929.74,5445.62
ORD-00506,2026-04-08,Karachi,Home Appliances,Electric Kettle,Indus Industries,6,9117.48,54704.88,32782.56
ORD-00247,2026-06-27,Islamabad,HOME APPLIANCES,Electric Kettle,Nexus Co,1,8023.74,8023.74,5585.6
ORD-00217,2026-03-01, Karachi ,Home Appliances,Vacuum Cleaner,Pak Co,4,31926.99,127707.96,100106.4
ORD-00307,2026-06-20,Lahore,Electronics,Monitor,,1,49313.08,49313.08,38958.43
ORD-00214,2026-02-23,Karachi,Home Appliances,Microwave Oven,Crescent Enterprises,1,40779.96,40779.96,30071.95
ORD-00069,2026-05-12,Multan,electronics,Monitor,Pak Ltd,3,55617.68,166853.04,116004.3
ORD-00441,2026-02-02,Karachi,Furniture,Filing Cabinet,Indus Co,5,33568.81,167844.05,115543.2
ORD-00547,2026-01-02,Lahore,Office Supplies,Notebook Pack,Indus Enterprises,4,1854.48,7417.92,4545.8
ORD-00120,2026-04-28,Lahore,Home Appliances,Electric Kettle,Delta Ltd,5,8400.52,42002.6,28193.75
ORD-00461,2026-01-07,Faisalabad,Home Appliances,Electric Kettle,Prime Stores,3,8122.27,24366.81,17223.45
ORD-00521,15/02/2026,Islamabad,Clothing,Trousers,Green Industries,6,8054.91,48329.46,30693.24
ORD-00544,2026-02-10,Islamabad,Electronics,Wireless Earbuds,Alpha Mart,3,13838.97,41516.91,27126.3
ORD-00290,03-16-2026,Faisalabad,Home Appliances,Electric Kettle,Metro Mart,4,8642.85,34571.4,23155.12
ORD-00459,2026-01-26,Karachi,Office Supplies,Desk Organizer,Vertex Enterprises,1,3214.27,3214.27,1947.83
ORD-00440,2026-05-08,Faisalabad,Office Supplies,Printer Paper Box,Falcon Ltd,1,4448.88,4448.88,3143.41
ORD-00021,2026-02-13,,Clothing,Formal Shirt,Horizon Solutions,2,6700.98,13401.96,7585.22
ORD-00238,2026-05-27,Multan,Furniture,Study Desk,Horizon Solutions,2,49337.8,98675.6,70567.22
ORD-00337,2026-03-19,Lahore,Electronics,Smartphone,Sigma Traders,6,101468.19,608809.14,
ORD-00068,2026-05-27,Karachi,Furniture,Filing Cabinet,Falcon Industries,2,33681.08,67362.16,48415.92
ORD-00078,2026-02-10,Islamabad,Office Supplies,Notebook Pack,Indus Mart,1,1939.99,1939.99,1132.13
ORD-00429,01-29-2026,Lahore,home appliances,Electric Kettle,West Ltd,3,8850.15,26550.45,16862.97
ORD-00548,2026-03-30,Islamabad,Electronics,Keyboard,Metro Traders,2,13064.71,26129.42,15395.84
ORD-00009,2026-01-09,Karachi, Office Supplies ,Notebook Pack,West Mart,5,1709.72,8548.6,5739.55
ORD-00364,2026-02-19,Faisalabad,HOME APPLIANCES,Air Fryer,Indus Stores,6,28316.83,169900.98,120637.92
ORD-00483,2026-06-06,Islamabad,Office Supplies,Ink Cartridge,Falcon Mart,3,8992.02,26976.06,19682.25
ORD-00596,2026-06-13,FAISALABAD,Office Supplies,Ink Cartridge,Jinnah Ltd,6,9558.65,57351.9,41067.36
ORD-00057,2026-06-09,Karachi,Home Appliances,Electric Kettle,Khyber Ltd,1,8135.03,8135.03,5815.54
ORD-00377,2026-04-14,Rawalpindi,Electronics,Keyboard,Horizon Mart,2,13247.75,26495.5,15175.02
ORD-00574,2026-03-07,karachi,Office Supplies,Ink Cartridge,Horizon Mart,5,9632.96,48164.8,33463.1
ORD-00396,2026-03-08,Karachi,Electronics,Keyboard,Crescent Co,6,13202.84,79217.04,44517.72
ORD-00400,2026-05-14,Multan,Furniture,Bookshelf,Metro Ltd,5,23866.03,119330.15,83901.65
ORD-00213,2026-01-19,Karachi,Office Supplies,Ink Cartridge,Royal Ltd,5,9753.62,48768.1,33710.8
ORD-00203,2026-05-07,Islamabad,Home Appliances,Electric Kettle,Unity Stores,2,7947.85,15895.7,11513.44
ORD-00017,02-15-2026,rawalpindi,Furniture,Filing Cabinet,Jinnah Solutions,6,33907.51,203445.06,145381.56
ORD-00540,2026-03-12,Lahore,Clothing,Formal Shirt,Metro Mart,3,6311.92,18935.76,11525.31
ORD-00075,2026-06-26,Rawalpindi,Home Appliances,Vacuum Cleaner,Beta Enterprises,3,33855.37,101566.11,75642.36
ORD-00144,2026-05-01,Multan,Home Appliances,Microwave Oven,Beta Stores,2,40112.66,80225.32,58599.16
ORD-00098,2026-06-14,Lahore,Home Appliances,Vacuum Cleaner,Pak Enterprises,4,34994.62,139978.48,101986.32
ORD-00101,2026-03-02,ISLAMABAD,Electronics,Wireless Earbuds,Green Co,3,13617.58,40852.74,28211.01
ORD-00299,02/04/2026,Karachi,Clothing,Formal Shirt,Delta Solutions,5,6233.97,31169.85,19749.65
ORD-00346,2026-04-24,Rawalpindi,Furniture,Study Desk,Pak Solutions,3,45246.82,"135,740.46",105393.06
ORD-00119,2026-03-01,Karachi,Office Supplies,Desk Organizer,Royal Co,1,3329.95,3329.95,1972.79
ORD-00090,2026-03-30,Rawalpindi,Electronics,Keyboard,Falcon Enterprises,3,13374.42,40123.26,23859.03
ORD-00045,2026-03-07,Lahore,Electronics,Keyboard,West Industries,2,11763.49,23526.98,16294.56
ORD-00579,2026-01-19,,Office Supplies,Desk Organizer,Zenith Co,1,3168.7,3168.7,1860.82
ORD-00088,2026-06-30,Karachi,Office Supplies,Desk Organizer,Vertex Ltd,3,3435.21,10305.63,5677.02
ORD-00251,2026-05-14,Karachi,Clothing,Trousers,Nexus Enterprises,5,8469.16,42345.8,26263.8
ORD-00504,22/01/2026,Faisalabad,Furniture,Office Chair,Horizon Co,4,37532.58,150130.32,103079.68
ORD-00430,2026-02-18,Karachi,Home Appliances,Electric Kettle,Horizon Solutions,3,8829.82,26489.46,17937.3
ORD-00368,2026-06-16,Faisalabad,Office Supplies,Notebook Pack,Nexus Traders,4,1757.34,7029.36,4330.88
ORD-00082,2026-04-23,Lahore,Electronics,Wireless Earbuds,Pak Solutions,6,15633.95,"93,803.70",53164.98
ORD-00509,2026-01-12,Karachi,Furniture,Office Chair,Prime Enterprises,2,36503.04,73006.08,54379.98
ORD-00220,2026-04-09,Rawalpindi,Electronics,Monitor,Horizon Mart,6,54373.77,326242.62,234494.64
ORD-00129,2026-01-31,Karachi,Electronics,Monitor,Metro Ltd,1,54059.95,54059.95,"PKR 37,449.47"
ORD-00550,2026-01-03,Lahore,Office Supplies,Ink Cartridge,Zenith Mart,4,9203.57,36814.28,27970.16
ORD-00408,2026-05-05,Faisalabad,Home Appliances,Air Fryer,Sigma Ltd,1,28847.46,28847.46,20658.56
ORD-00582,2026-02-11,Lahore,CLOTHING,Jacket,Unity Ltd,4,16776.33,67105.32,46973.48
ORD-00113,2026-03-19,Karachi,Electronics,Wireless Earbuds,Indus Mart,4,15187.3,60749.2,35500.04
ORD-00446,2026-03-22,Lahore,Electronics,Wireless Earbuds,Delta Enterprises,6,14407.68,"86,446.08",52757.58
ORD-00402,2026-06-05,Rawalpindi,Furniture,Filing Cabinet,Pak Industries,6,33874.08,203244.48,146713.38
ORD-00383,2026-04-11,Faisalabad,Electronics,Keyboard,Horizon Mart,3,12874.98,38624.94,22386.18
ORD-00375,2026-02-28,Islamabad,Furniture,Filing Cabinet,Metro Industries,4,31722.97,126891.88,96862.36
ORD-00344,2026-02-05,Lahore,Furniture,Bookshelf,Unity Enterprises,1,23913.28,23913.28,17459.26
ORD-00048,2026-05-04,Faisalabad,Home Appliances,Vacuum Cleaner,Pak Ltd,1,31386.75,31386.75,25642.93
ORD-00486,2026-02-16,Lahore,Electronics,Monitor,Nexus Mart,6,50803.43,304820.58,244176.18
ORD-00169,2026-05-21, Multan ,Furniture,Office Chair,West Mart,1,39168.31,39168.31,28098.58
ORD-00533,2026-03-30,Karachi,Home Appliances,Vacuum Cleaner,Pak Industries,5,34300.15,171500.75,120874.1
ORD-00305,2026-03-21,Karachi,Furniture,Filing Cabinet,Sigma Ltd,2,33872.51,67745.02,48855.34
ORD-00518,2026-01-07,Multan,Furniture,Filing Cabinet,Delta Enterprises,5,30365.66,151828.3,116957.75
ORD-00353,2026-03-21,Lahore,Electronics,Keyboard,West Stores,5,12706.6,63533.0,37256.2
ORD-00121,2026-01-30,Lahore,Furniture,Study Desk,Vertex Solutions,5,47402.71,"237,013.55",169500.7
ORD-00010,26/01/2026,Rawalpindi, Home Appliances ,Microwave Oven,Falcon Co,2,37390.8,"74,781.60",60217.72
ORD-00133,2026-05-11,Karachi,Furniture,Office Chair,Indus Traders,3,39322.45,117967.35,"PKR 82,862.67"
ORD-00444,2026-04-17, Rawalpindi ,Office Supplies,Ink Cartridge,Alpha Industries,4,9421.42,,27151.04
ORD-00457,25/01/2026,Rawalpindi,,Keyboard,Horizon Stores,2,12751.77,25503.54,15157.18
ORD-00485,2026-06-23,Multan,Electronics,Wireless Earbuds,Prime Ltd,3,14783.56,44350.68,26117.91
ORD-00143,2026-04-09,Faisalabad,Clothing,Formal Shirt,,4,6807.37,27229.48,15380.2
ORD-00279,2026-06-01,Faisalabad,Office Supplies,Notebook Pack,Royal Co,2,1712.63,3425.26,2149.6
ORD-00568,2026-01-21,Islamabad,Electronics,Wireless Earbuds,Indus Stores,6,13882.34,83294.04,56356.2
ORD-00186,2026-04-22,Rawalpindi,Electronics,Monitor,Beta Solutions,6,50947.38,305684.28,"PKR 224,347.98"
ORD-00347,2026-03-08,Rawalpindi,Home Appliances,Microwave Oven,Unity Ltd,6,36620.68,,177713.64
ORD-00501,2026-05-18,Karachi,Office Supplies,Printer Paper Box,Khyber Traders,1,3941.69,3941.69,2981.57
ORD-00245,2026-04-18,,Electronics,Smartphone,Alpha Industries,1,104348.57,104348.57,79499.3
ORD-00146,2026-02-15,Karachi,Electronics,Keyboard,Unity Ltd,6,13344.8,80068.8,48084.06
ORD-00185,2026-04-06,Lahore,Electronics,Smartphone,Green Traders,3,98694.25,296082.75,238219.23
ORD-00074,2026-04-23,Multan,Clothing,Polo Shirt,Crescent Co,3,5129.5,15388.5,8416.2
ORD-00555,06-23-2026,KARACHI,Office Supplies,Notebook Pack,Metro Enterprises,3,1746.1,5238.3,3332.7
ORD-00354,2026-05-29,Islamabad,Furniture,Office Chair,Prime Solutions,4,40253.25,161013.0,102851.24
ORD-00560,12/06/2026,Karachi,Clothing,Formal Shirt,Alpha Ltd,5,6601.32,33006.6,19322.1
ORD-00490,2026-06-18,Islamabad,Electronics,Smartphone,Horizon Mart,2,98659.27,197318.54,155034.36
ORD-00348,2026-05-29,Islamabad,Clothing,Trousers,West Solutions,3,7994.02,23982.06,15555.39
ORD-00563,2026-01-07,KARACHI,Home Appliances,Microwave Oven,Royal Co,3,38606.66,115819.98,93846.51
ORD-00529,2026-06-07,Faisalabad,Office Supplies,Printer Paper Box,Metro Solutions,4,4064.78,16259.12,11773.76
ORD-00331,2026-06-14,,Clothing,Polo Shirt,Pak Enterprises,1,4751.18,4751.18,2709.84
ORD-00317,2026-02-05,Lahore,Electronics,Keyboard,Indus Enterprises,5,12097.14,60485.7,40499.8
ORD-00084,2026-06-17,Karachi,Electronics,Smartphone,Nexus Traders,3,101834.37,305503.11,234015.93
ORD-00558,2026-02-01,Multan,Clothing,Trousers,Pak Co,2,8569.26,17138.52,10694.08
ORD-00341,2026-04-02,Faisalabad,Clothing,Formal Shirt,Delta Stores,3,6464.85,19394.55,11837.55
ORD-00018,2026-02-19,KARACHI,Office Supplies,Ink Cartridge,Vertex Ltd,6,9560.9,57365.4,42143.22
ORD-00126,2026-04-05,Islamabad,Home Appliances,Microwave Oven,Nexus Enterprises,6,41957.08,251742.48,182427.12
ORD-00041,2026-03-14,Islamabad,Office Supplies,Notebook Pack,Vertex Co,4,1819.42,"7,277.68",4331.84
ORD-00218,2026-04-16,Karachi,electronics,Monitor,Sigma Stores,5,51891.58,"259,457.90",198909.2
ORD-00030,2026-03-04,Faisalabad,Electronics,Monitor,Alpha Mart,5,53120.59,265602.95,"PKR 192,640.30"
ORD-00334,2026-01-25,Faisalabad,Furniture,Office Chair,Royal Solutions,5,35432.73,177163.65,138246.95
ORD-00019,2026-05-11,Karachi,Electronics,Monitor,Horizon Ltd,1,52415.38,52415.38,40195.39
ORD-00058,2026-04-27,Rawalpindi,Office Supplies,Printer Paper Box,Beta Enterprises,1,4004.02,4004.02,3076.33
ORD-00388,2026-06-17,Lahore,Electronics,Wireless Earbuds,Horizon Co,6,14842.0,89052.0,51537.3
ORD-00390,2026-02-01, Rawalpindi ,Clothing,Formal Shirt,Falcon Co,2,6410.16,12820.32,7641.36
ORD-00492,2026-03-31,Lahore,Electronics,Smartphone,Royal Solutions,3,100782.22,302346.66,229439.76
ORD-00115,2026-05-20,Karachi,Office Supplies,Notebook Pack,Crescent Co,4,1889.38,7557.52,4545.76
ORD-00513,2026-03-08,karachi,Furniture,Study Desk,Horizon Solutions,5,48198.24,240991.2,181675.2
ORD-00379,2026-03-26, Multan ,Clothing,Polo Shirt,Vertex Co,4,4611.03,18444.12,11077.52
ORD-00431,2026-01-31,Lahore,Home Appliances,Microwave Oven,Falcon Industries,2,39775.05,79550.1,61180.24
ORD-00324,2026-02-22,Rawalpindi,Electronics,Monitor,Zenith Stores,4,49375.55,197502.2,161558.88
ORD-00178,2026-03-24,Multan,Home Appliances,Air Fryer,Khyber Mart,3,28205.89,84617.67,62010.0
ORD-00236,2026-06-16,Lahore,office supplies,Ink Cartridge,Green Stores,4,10070.15,40280.6,"PKR 27,687.12"
ORD-00227,2026-06-13,Rawalpindi,Furniture,Office Chair,Unity Ltd,2,39857.03,79714.06,54269.82
ORD-00249,2026-02-16,Karachi,Electronics,Laptop,,1,184950.58,184950.58,152391.64
ORD-00065,2026-06-18,Karachi,Electronics,Smartphone,Pak Solutions,3,95700.41,287101.23,231558.06
ORD-00125,2026-04-16,Faisalabad,Electronics,Smartphone,Indus Co,2,93289.78,186579.56,149295.88
ORD-00258,2026-06-16,Lahore,Clothing,Trousers,Sigma Co,5,7925.74,39628.7,24630.5
ORD-00210,2026-02-16,Islamabad,HOME APPLIANCES,Electric Kettle,Horizon Solutions,2,8613.06,17226.12,11806.2
ORD-00424,2026-04-20,Karachi,Home Appliances,Vacuum Cleaner,Alpha Ltd,2,31382.38,"62,764.76",50210.74
ORD-00216,2026-03-30,Karachi,,Filing Cabinet,Unity Solutions,3,30507.44,"91,522.32",67049.43
ORD-00072,2026-01-05,Karachi,Office Supplies,Printer Paper Box,Beta Ltd,5,4369.17,21845.85,14748.8
ORD-00515,2026-04-15, Lahore ,Office Supplies,Notebook Pack,Unity Enterprises,6,1723.53,10341.18,6775.56
ORD-00265,2026-01-14,Karachi,Furniture,Filing Cabinet,Khyber Industries,5,33282.31,166411.55,116571.95
ORD-00211,2026-03-18,Karachi,Electronics,Smartphone,Delta Mart,1,94307.37,94307.37,74132.6
ORD-00183,09/02/2026,Multan,Clothing,Jacket,Crescent Ltd,4,18348.51,73394.04,45024.72
ORD-00262,2026-05-02,,Furniture,Filing Cabinet,Falcon Solutions,2,31144.66,62289.32,48751.86
ORD-00401,05/02/2026, Karachi ,Clothing,Trousers,,3,8181.86,24545.58,15584.85
ORD-00583,2026-04-22,Karachi,Office Supplies,Desk Organizer,Metro Traders,4,2983.61,11934.44,7952.8
ORD-00204,2026-02-21,Karachi,Electronics,Wireless Earbuds,Nexus Ltd,6,15289.74,91738.44,56241.06
ORD-00189,2026-02-24,Lahore,Electronics,Smartphone,Green Traders,5,103410.8,517054.0,368384.4
ORD-00418,2026-01-13,Lahore,Furniture,Filing Cabinet,Unity Solutions,4,32603.09,130412.36,91735.16
ORD-00590,2026-04-28,Rawalpindi,Electronics,Wireless Earbuds,Crescent Solutions,3,14469.33,43407.99,27143.91
ORD-00053,2026-05-02,Islamabad,Furniture,Study Desk,Unity Industries,5,44952.23,224761.15,179956.45
ORD-00369,2026-02-21,Islamabad,Office Supplies,Desk Organizer,West Ltd,5,3308.36,"16,541.80",9834.4
ORD-00296,2026-05-15,Multan,Office Supplies,Printer Paper Box,Prime Solutions,1,4163.96,"4,163.96",3124.32
ORD-00600,2026-03-23,Rawalpindi,Clothing,Jacket,Pak Stores,5,17580.13,87900.65,54242.7
ORD-00586,06-04-2026,Lahore,Home Appliances,Electric Kettle,Zenith Enterprises,2,8316.67,16633.34,11445.58
ORD-00453,2026-01-28,Rawalpindi,electronics,Wireless Earbuds,Sigma Stores,1,14175.09,14175.09,9446.79
ORD-00147,2026-05-05,Multan, Office Supplies ,Ink Cartridge,Pak Industries,2,9783.38,19566.76,"PKR 14,233.94"
ORD-00175,2026-06-04,Faisalabad,Clothing,Polo Shirt,Indus Mart,3,4725.61,14176.83,"PKR 8,025.60"
ORD-00109,2026-02-28,Faisalabad,,Office Chair,Vertex Traders,1,39241.24,39241.24,26407.01
