order_id,order_date,region,category,product,customer,quantity,unit_price,sales,cost,profit,profit_margin
ORD-00104,2026-03-24,Lahore,Furniture,Bookshelf,Delta Mart,3,24166.14,72498.42,50986.11,21512.309999999998,29.672798386502762
ORD-00493,2026-05-10,Karachi,Furniture,Bookshelf,Beta Traders,5,24542.91,122714.55,84182.1,38532.45,31.40006625131249
ORD-00118,2026-05-14,Lahore,Office Supplies,Ink Cartridge,Delta Traders,1,9262.88,9262.88,7114.03,2148.8499999999995,23.198508455253652
ORD-00556,2026-05-02,Lahore,Furniture,Filing Cabinet,Horizon Solutions,2,31977.35,63954.7,48140.08,15814.619999999995,24.72784642880038
ORD-00355,2026-03-20,Karachi,Home Appliances,Air Fryer,Delta Ltd,1,29554.36,29554.36,20575.85,8978.510000000002,30.379646184184
ORD-00491,2026-07-02,Lahore,Clothing,Formal Shirt,Zenith Mart,5,6340.19,31700.95,19782.95,11918.0,37.595087844370596
ORD-00358,2026-06-24,Islamabad,Clothing,Jacket,Crescent Industries,1,16698.72,16698.72,11238.18,5460.540000000001,32.70035068556153
ORD-00306,2026-01-27,Karachi,Furniture,Study Desk,Pak Enterprises,3,46081.9,138245.7,108612.3,29633.40000000001,21.43531408210165
ORD-00445,2026-05-22,Islamabad,Furniture,Study Desk,Crescent Co,4,51346.44,205385.76,136805.6,68580.16,33.39090304994855
ORD-00153,2026-05-14,Faisalabad,Furniture,Study Desk,Beta Solutions,4,46791.74,187166.96,138527.28,48639.67999999999,25.987321693957092
ORD-00135,2026-02-12,Karachi,Clothing,Formal Shirt,Alpha Stores,2,6767.26,13534.52,7412.0,6122.52,45.23632903124751
ORD-00534,2026-06-15,Rawalpindi,Clothing,Jacket,Sigma Stores,6,18562.26,111373.56,68332.32,43041.23999999999,38.645832996628634
ORD-00224,2026-06-13,Faisalabad,Clothing,Jacket,Vertex Co,5,16901.81,84509.05,57237.6,27271.450000000004,32.27044914124582
ORD-00026,2026-01-07,Faisalabad,Electronics,Wireless Earbuds,Metro Co,4,14196.99,56787.96,35836.92,20951.04,36.89345417584995
ORD-00576,2026-03-04,Islamabad,Clothing,Jacket,Crescent Ltd,6,16332.36,97994.16,69028.5,28965.660000000003,29.55855736709208
ORD-00116,2026-05-17,Islamabad,Clothing,Jacket,Crescent Enterprises,6,18625.69,111754.14,67447.98,44306.16,39.64610170146717
ORD-00480,2026-01-03,Islamabad,Furniture,Study Desk,West Industries,4,45427.58,181710.32,144464.96,37245.360000000015,20.497107704174432
ORD-00264,2026-01-09,Rawalpindi,Electronics,Monitor,Unity Industries,6,48984.49,293906.94,239386.32,54520.619999999995,18.550300309342813
ORD-00076,2026-03-02,Lahore,Clothing,Trousers,Royal Enterprises,6,8179.4,49076.4,30205.14,18871.260000000002,38.4528205002812
ORD-00542,2026-03-08,Lahore,Clothing,Jacket,Green Traders,6,17647.99,105887.94,69414.24,36473.7,34.44556575564695
ORD-00435,2026-05-22,Karachi,Electronics,Monitor,Prime Ltd,2,51839.24,103678.48,79792.54,23885.940000000002,23.03847432948477
ORD-00166,2026-05-31,Karachi,Home Appliances,Vacuum Cleaner,Prime Solutions,6,33265.43,199592.58,147354.54,52238.03999999998,26.172335664983127
ORD-00002,2026-02-10,Karachi,Home Appliances,Electric Kettle,Nexus Industries,1,8023.25,8023.25,5470.13,2553.12,31.82151871124544
ORD-00310,2026-06-01,Lahore,Home Appliances,Electric Kettle,Nexus Ltd,1,7940.89,7940.89,5440.72,2500.17,31.484758005714724
ORD-00530,2026-03-02,Lahore,Home Appliances,Microwave Oven,Falcon Traders,1,38760.36,38760.36,28732.51,10027.850000000002,25.871405735137653
ORD-00131,2026-01-07,Karachi,Clothing,Trousers,Indus Mart,6,8107.85,48647.1,31047.3,17599.8,36.17851834950079
ORD-00292,2026-02-17,Islamabad,Home Appliances,Air Fryer,Vertex Industries,3,28422.03,85266.09,65995.44,19270.649999999994,22.60060242002418
ORD-00240,2026-06-07,Karachi,Electronics,Laptop,Falcon Mart,3,174255.44,522766.32,456424.29,66342.03000000003,12.690570808004622
ORD-00195,2026-04-14,Lahore,Furniture,Office Chair,Indus Enterprises,5,40367.6,201838.0,134188.65,67649.35,33.516656922878745
ORD-00298,2026-04-03,Faisalabad,Clothing,Polo Shirt,West Traders,6,5053.16,30318.96,16587.0,13731.96,45.291659080654476
ORD-00404,2026-06-21,Lahore,Office Supplies,Printer Paper Box,West Enterprises,6,4115.66,24693.96,17502.84,7191.119999999999,29.12096723247304
ORD-00205,2026-03-17,Lahore,Electronics,Keyboard,Pak Mart,5,12094.02,60470.1,38776.8,21693.299999999996,35.874423888831004
ORD-00139,2026-02-03,Karachi,Home Appliances,Electric Kettle,Horizon Solutions,3,8482.27,25446.81,16644.48,8802.330000000002,34.591094129283796
ORD-00342,2026-01-27,Lahore,Furniture,Office Chair,Delta Traders,1,39795.42,39795.42,27296.07,12499.349999999999,31.409016414451713
ORD-00436,2026-03-21,Lahore,Clothing,Formal Shirt,Pak Enterprises,2,6115.25,12230.5,7601.3,4629.2,37.849638199583005
ORD-00035,2026-02-23,Karachi,Electronics,Keyboard,Zenith Mart,1,11918.5,11918.5,7728.64,4189.86,35.15425598858917
ORD-00525,2026-04-12,Faisalabad,Home Appliances,Electric Kettle,Alpha Traders,4,8179.91,32719.64,23332.0,9387.64,28.691146968609676
ORD-00482,2026-04-21,Karachi,Home Appliances,Microwave Oven,Royal Solutions,3,41401.29,124203.87,91609.2,32594.67,26.24287793931059
ORD-00257,2026-06-07,Karachi,Home Appliances,Electric Kettle,Sigma Enterprises,3,8482.94,25448.82,16296.75,9152.07,35.96264974171691
ORD-00142,2026-01-13,Faisalabad,Furniture,Office Chair,Horizon Solutions,4,39234.31,156937.24,104466.32,52470.919999999984,33.434333367911904
ORD-00300,2026-01-04,Rawalpindi,Furniture,Study Desk,Unknown,1,46208.71,46208.71,35011.84,11196.870000000003,24.23108111003316
ORD-00201,2026-05-24,Karachi,Furniture,Filing Cabinet,Delta Stores,6,30422.73,182536.38,146130.0,36406.380000000005,19.944725539095277
ORD-00141,2026-01-25,Karachi,Electronics,Smartphone,Crescent Industries,2,94052.56,188105.12,150488.84,37616.28,19.99747800591499
ORD-00171,2026-04-13,Faisalabad,Office Supplies,Desk Organizer,Delta Solutions,4,3287.45,13149.8,7825.64,5324.159999999999,40.488524540297185
ORD-00063,2026-10-01,Faisalabad,Electronics,Laptop,West Traders,5,188535.71,942678.55,731451.7,211226.8500000001,22.40709200394982
ORD-00187,2026-05-17,Rawalpindi,Electronics,Keyboard,Unity Enterprises,1,12939.15,12939.15,7466.62,5472.53,42.29435472963834
ORD-00432,2026-05-11,Lahore,Electronics,Smartphone,Alpha Mart,1,93492.04,93492.04,73855.34,19636.699999999997,21.003606296322126
ORD-00559,2026-05-09,Faisalabad,Clothing,Polo Shirt,Green Co,3,5058.82,15176.46,8357.55,6818.91,44.93083367267466
ORD-00320,2026-02-11,Faisalabad,Office Supplies,Desk Organizer,Sigma Mart,1,3107.54,3107.54,1820.22,1287.32,41.42569363548015
ORD-00208,2026-05-07,Islamabad,Electronics,Smartphone,West Solutions,5,95259.92,476299.6,369439.55,106860.04999999999,22.435469187880905
ORD-00183,2026-09-02,Multan,Clothing,Jacket,Crescent Ltd,4,18348.51,73394.04,45024.72,28369.319999999992,38.65343834458492
ORD-00061,2026-04-13,Karachi,Furniture,Bookshelf,Unity Stores,2,22594.97,45189.94,34452.96,10736.980000000003,23.759668634213725
ORD-00204,2026-02-21,Karachi,Electronics,Wireless Earbuds,Nexus Ltd,6,15289.74,91738.44,56241.06,35497.380000000005,38.69411775478197
ORD-00163,2026-02-27,Rawalpindi,Furniture,Bookshelf,Sigma Traders,5,23378.58,116892.9,87985.3,28907.59999999999,24.7299878777924
ORD-00439,2026-02-27,Lahore,Clothing,Formal Shirt,Beta Solutions,3,6945.24,20835.72,12191.25,8644.470000000001,41.48870305417812
ORD-00193,2026-01-03,Faisalabad,Clothing,Trousers,West Solutions,5,7798.66,38993.3,24631.0,14362.300000000003,36.83273793190113
ORD-00464,2026-05-29,Multan,Electronics,Smartphone,Crescent Mart,3,94991.32,284973.96,220718.31,64255.65000000002,22.54790227149176
ORD-00081,2026-05-25,Faisalabad,Electronics,Keyboard,Prime Traders,3,12845.87,38537.61,24024.69,14512.920000000002,37.659107557526276
ORD-00516,2026-03-18,Lahore,Clothing,Polo Shirt,Green Solutions,3,4696.42,14089.26,8247.6,5841.66,41.461794302894546
ORD-00499,2026-01-21,Karachi,Office Supplies,Printer Paper Box,Nexus Co,1,4218.86,4218.86,2917.57,1301.2899999999995,30.8445883485112
ORD-00574,2026-03-07,Karachi,Office Supplies,Ink Cartridge,Horizon Mart,5,9632.96,48164.8,33463.1,14701.700000000004,30.523743480716213
ORD-00367,2026-01-07,Karachi,Electronics,Keyboard,Horizon Solutions,6,11751.65,70509.9,48154.44,22355.459999999992,31.70542008994481
ORD-00242,2026-06-14,Lahore,Furniture,Office Chair,Beta Co,2,38296.61,76593.22,53436.3,23156.92,30.233642089991775
ORD-00514,2026-02-12,Faisalabad,Home Appliances,Vacuum Cleaner,Indus Industries,3,31320.89,93962.67,74947.44,19015.229999999996,20.237004759443295
ORD-00140,2026-03-09,Faisalabad,Furniture,Office Chair,Crescent Stores,2,40104.77,80209.54,53070.08,27139.459999999992,33.83570084057332
ORD-00323,2026-02-28,Karachi,Office Supplies,Notebook Pack,Jinnah Solutions,1,1782.28,1782.28,1092.18,690.0999999999999,38.72006643176156
ORD-00422,2026-05-19,Karachi,Furniture,Bookshelf,Pak Stores,2,22328.04,44656.08,34446.0,10210.080000000002,22.863807123240555
ORD-00465,2026-03-22,Karachi,Electronics,Smartphone,Beta Enterprises,6,99479.22,596875.32,460863.48,136011.83999999997,22.787311762195156
ORD-00244,2026-02-11,Karachi,Furniture,Bookshelf,Unity Solutions,1,24205.74,24205.74,16802.95,7402.790000000001,30.58278738844588
ORD-00014,2026-03-31,Lahore,Electronics,Keyboard,Unity Traders,6,12192.22,73153.32,49064.46,24088.860000000008,32.92927785095742
ORD-00122,2026-05-24,Islamabad,Furniture,Filing Cabinet,Indus Industries,4,30562.82,122251.28,94614.72,27636.559999999998,22.60635635062471
ORD-00005,2026-05-24,Lahore,Clothing,Jacket,Sigma Enterprises,2,18892.98,37785.96,21589.86,16196.099999999999,42.86274584528221
ORD-00151,2026-05-27,Karachi,Electronics,Laptop,Sigma Stores,3,194913.15,584739.45,449554.05,135185.39999999997,23.118912192430315
ORD-00438,2026-01-06,Karachi,Clothing,Polo Shirt,Indus Co,2,4464.87,8929.74,5445.62,3484.12,39.017037450138524
ORD-00506,2026-04-08,Karachi,Home Appliances,Electric Kettle,Indus Industries,6,9117.48,54704.88,32782.56,21922.32,40.073792319807666
ORD-00247,2026-06-27,Islamabad,Home Appliances,Electric Kettle,Nexus Co,1,8023.74,8023.74,5585.6,2438.1399999999994,30.386577830288612
ORD-00217,2026-03-01,Karachi,Home Appliances,Vacuum Cleaner,Pak Co,4,31926.99,127707.96,100106.4,27601.560000000012,21.613030229282508
ORD-00307,2026-06-20,Lahore,Electronics,Monitor,Unknown,1,49313.08,49313.08,38958.43,10354.650000000001,20.99777584365041
ORD-00214,2026-02-23,Karachi,Home Appliances,Microwave Oven,Crescent Enterprises,1,40779.96,40779.96,30071.95,10708.009999999998,26.258019870544253
ORD-00069,2026-05-12,Multan,Electronics,Monitor,Pak Ltd,3,55617.68,166853.04,116004.3,50848.740000000005,30.47516545098609
ORD-00441,2026-02-02,Karachi,Furniture,Filing Cabinet,Indus Co,5,33568.81,167844.05,115543.2,52300.84999999999,31.16038370141807
ORD-00547,2026-01-02,Lahore,Office Supplies,Notebook Pack,Indus Enterprises,4,1854.48,7417.92,4545.8,2872.12,38.71867046287908
ORD-00120,2026-04-28,Lahore,Home Appliances,Electric Kettle,Delta Ltd,5,8400.52,42002.6,28193.75,13808.849999999999,32.87617909367515
ORD-00461,2026-01-07,Faisalabad,Home Appliances,Electric Kettle,Prime Stores,3,8122.27,24366.81,17223.45,7143.360000000001,29.315942464360333
ORD-00521,2026-02-15,Islamabad,Clothing,Trousers,Green Industries,6,8054.91,48329.46,30693.24,17636.219999999998,36.49165540024655
ORD-00544,2026-02-10,Islamabad,Electronics,Wireless Earbuds,Alpha Mart,3,13838.97,41516.91,27126.3,14390.610000000004,34.662044935425115
ORD-00290,2026-03-16,Faisalabad,Home Appliances,Electric Kettle,Metro Mart,4,8642.85,34571.4,23155.12,11416.280000000002,33.02232481183869
ORD-00459,2026-01-26,Karachi,Office Supplies,Desk Organizer,Vertex Enterprises,1,3214.27,3214.27,1947.83,1266.44,39.400548180457776
ORD-00440,2026-05-08,Faisalabad,Office Supplies,Printer Paper Box,Falcon Ltd,1,4448.88,4448.88,3143.41,1305.4700000000003,29.34378989768212
ORD-00021,2026-02-13,Unknown,Clothing,Formal Shirt,Horizon Solutions,2,6700.98,13401.96,7585.22,5816.739999999999,43.40215908717829
ORD-00238,2026-05-27,Multan,Furniture,Study Desk,Horizon Solutions,2,49337.8,98675.6,70567.22,28108.380000000005,28.48564386737958
ORD-00068,2026-05-27,Karachi,Furniture,Filing Cabinet,Falcon Industries,2,33681.08,67362.16,48415.92,18946.240000000005,28.125938954451584
ORD-00078,2026-02-10,Islamabad,Office Supplies,Notebook Pack,Indus Mart,1,1939.99,1939.99,1132.13,807.8599999999999,41.64248269320975
ORD-00429,2026-01-29,Lahore,Home Appliances,Electric Kettle,West Ltd,3,8850.15,26550.45,16862.97,9687.48,36.48706519098546
ORD-00548,2026-03-30,Islamabad,Electronics,Keyboard,Metro Traders,2,13064.71,26129.42,15395.84,10733.579999999998,41.078523748326596
ORD-00009,2026-01-09,Karachi,Office Supplies,Notebook Pack,West Mart,5,1709.72,8548.6,5739.55,2809.05,32.85976651147556
ORD-00364,2026-02-19,Faisalabad,Home Appliances,Air Fryer,Indus Stores,6,28316.83,169900.98,120637.92,49263.06000000001,28.995159415796195
ORD-00483,2026-06-06,Islamabad,Office Supplies,Ink Cartridge,Falcon Mart,3,8992.02,26976.06,19682.25,7293.810000000001,27.038084879704456
ORD-00596,2026-06-13,Faisalabad,Office Supplies,Ink Cartridge,Jinnah Ltd,6,9558.65,57351.9,41067.36,16284.54,28.394072384698678
ORD-00057,2026-06-09,Karachi,Home Appliances,Electric Kettle,Khyber Ltd,1,8135.03,8135.03,5815.54,2319.49,28.51237180440637
ORD-00377,2026-04-14,Rawalpindi,Electronics,Keyboard,Horizon Mart,2,13247.75,26495.5,15175.02,11320.48,42.726047819441035
ORD-00396,2026-03-08,Karachi,Electronics,Keyboard,Crescent Co,6,13202.84,79217.04,44517.72,34699.31999999999,43.80284847805472
ORD-00400,2026-05-14,Multan,Furniture,Bookshelf,Metro Ltd,5,23866.03,119330.15,83901.65,35428.5,29.689479146720256
ORD-00213,2026-01-19,Karachi,Office Supplies,Ink Cartridge,Royal Ltd,5,9753.62,48768.1,33710.8,15057.299999999996,30.875305783903816
ORD-00203,2026-05-07,Islamabad,Home Appliances,Electric Kettle,Unity Stores,2,7947.85,15895.7,11513.44,4382.26,27.56883937165397
ORD-00017,2026-02-15,Rawalpindi,Furniture,Filing Cabinet,Jinnah Solutions,6,33907.51,203445.06,145381.56,58063.5,28.540137568344004
ORD-00540,2026-03-12,Lahore,Clothing,Formal Shirt,Metro Mart,3,6311.92,18935.76,11525.31,7410.449999999999,39.13468485025158
ORD-00075,2026-06-26,Rawalpindi,Home Appliances,Vacuum Cleaner,Beta Enterprises,3,33855.37,101566.11,75642.36,25923.75,25.52401583559713
ORD-00144,2026-05-01,Multan,Home Appliances,Microwave Oven,Beta Stores,2,40112.66,80225.32,58599.16,21626.160000000003,26.95677623972083
ORD-00098,2026-06-14,Lahore,Home Appliances,Vacuum Cleaner,Pak Enterprises,4,34994.62,139978.48,101986.32,37992.16,27.141429168255005
ORD-00101,2026-03-02,Islamabad,Electronics,Wireless Earbuds,Green Co,3,13617.58,40852.74,28211.01,12641.73,30.94463186557377
ORD-00299,2026-02-04,Karachi,Clothing,Formal Shirt,Delta Solutions,5,6233.97,31169.85,19749.65,11420.199999999997,36.63861070874578
ORD-00346,2026-04-24,Rawalpindi,Furniture,Study Desk,Pak Solutions,3,45246.82,135740.46,105393.06,30347.399999999994,22.35693027708908
ORD-00119,2026-03-01,Karachi,Office Supplies,Desk Organizer,Royal Co,1,3329.95,3329.95,1972.79,1357.1599999999999,40.75616751002267
ORD-00090,2026-03-30,Rawalpindi,Electronics,Keyboard,Falcon Enterprises,3,13374.42,40123.26,23859.03,16264.230000000003,40.53566435030454
ORD-00045,2026-03-07,Lahore,Electronics,Keyboard,West Industries,2,11763.49,23526.98,16294.56,7232.42,30.740962078430805
ORD-00579,2026-01-19,Unknown,Office Supplies,Desk Organizer,Zenith Co,1,3168.7,3168.7,1860.82,1307.8799999999999,41.27497080821788
ORD-00088,2026-06-30,Karachi,Office Supplies,Desk Organizer,Vertex Ltd,3,3435.21,10305.63,5677.02,4628.609999999999,44.913411407162876
ORD-00251,2026-05-14,Karachi,Clothing,Trousers,Nexus Enterprises,5,8469.16,42345.8,26263.8,16082.000000000004,37.97779236665738
ORD-00504,2026-01-22,Faisalabad,Furniture,Office Chair,Horizon Co,4,37532.58,150130.32,103079.68,47050.640000000014,31.33986525839685
ORD-00430,2026-02-18,Karachi,Home Appliances,Electric Kettle,Horizon Solutions,3,8829.82,26489.46,17937.3,8552.16,32.28514284549402
ORD-00368,2026-06-16,Faisalabad,Office Supplies,Notebook Pack,Nexus Traders,4,1757.34,7029.36,4330.88,2698.4799999999996,38.388701105079264
ORD-00082,2026-04-23,Lahore,Electronics,Wireless Earbuds,Pak Solutions,6,15633.95,93803.7,53164.98,40638.719999999994,43.323152498248994
ORD-00509,2026-01-12,Karachi,Furniture,Office Chair,Prime Enterprises,2,36503.04,73006.08,54379.98,18626.1,25.513080554386704
ORD-00220,2026-04-09,Rawalpindi,Electronics,Monitor,Horizon Mart,6,54373.77,326242.62,234494.64,91747.97999999998,28.12262236000924
ORD-00129,2026-01-31,Karachi,Electronics,Monitor,Metro Ltd,1,54059.95,54059.95,37449.47,16610.479999999996,30.72603655756248
ORD-00550,2026-01-03,Lahore,Office Supplies,Ink Cartridge,Zenith Mart,4,9203.57,36814.28,27970.16,8844.119999999999,24.023612576424146
ORD-00408,2026-05-05,Faisalabad,Home Appliances,Air Fryer,Sigma Ltd,1,28847.46,28847.46,20658.56,8188.899999999998,28.386901307775442
ORD-00582,2026-02-11,Lahore,Clothing,Jacket,Unity Ltd,4,16776.33,67105.32,46973.48,20131.840000000004,30.000363607535142
ORD-00113,2026-03-19,Karachi,Electronics,Wireless Earbuds,Indus Mart,4,15187.3,60749.2,35500.04,25249.159999999996,41.56295062321808
ORD-00446,2026-03-22,Lahore,Electronics,Wireless Earbuds,Delta Enterprises,6,14407.68,86446.08,52757.58,33688.5,38.9705351590263
ORD-00402,2026-06-05,Rawalpindi,Furniture,Filing Cabinet,Pak Industries,6,33874.08,203244.48,146713.38,56531.100000000006,27.814334736175862
ORD-00383,2026-04-11,Faisalabad,Electronics,Keyboard,Horizon Mart,3,12874.98,38624.94,22386.18,16238.760000000002,42.04216239559207
ORD-00375,2026-02-28,Islamabad,Furniture,Filing Cabinet,Metro Industries,4,31722.97,126891.88,96862.36,30029.520000000004,23.665438639572525
ORD-00344,2026-02-05,Lahore,Furniture,Bookshelf,Unity Enterprises,1,23913.28,23913.28,17459.26,6454.02,26.98927123338998
ORD-00048,2026-05-04,Faisalabad,Home Appliances,Vacuum Cleaner,Pak Ltd,1,31386.75,31386.75,25642.93,5743.82,18.30014257608704
ORD-00486,2026-02-16,Lahore,Electronics,Monitor,Nexus Mart,6,50803.43,304820.58,244176.18,60644.40000000002,19.895113381124077
ORD-00169,2026-05-21,Multan,Furniture,Office Chair,West Mart,1,39168.31,39168.31,28098.58,11069.729999999996,28.261954626073976
ORD-00533,2026-03-30,Karachi,Home Appliances,Vacuum Cleaner,Pak Industries,5,34300.15,171500.75,120874.1,50626.649999999994,29.51978344118028
ORD-00305,2026-03-21,Karachi,Furniture,Filing Cabinet,Sigma Ltd,2,33872.51,67745.02,48855.34,18889.680000000008,27.883496085763955
ORD-00518,2026-01-07,Multan,Furniture,Filing Cabinet,Delta Enterprises,5,30365.66,151828.3,116957.75,34870.54999999999,22.96709506725689
ORD-00353,2026-03-21,Lahore,Electronics,Keyboard,West Stores,5,12706.6,63533.0,37256.2,26276.800000000003,41.35929359545433
ORD-00121,2026-01-30,Lahore,Furniture,Study Desk,Vertex Solutions,5,47402.71,237013.55,169500.7,67512.84999999998,28.484806037460718
ORD-00010,2026-01-26,Rawalpindi,Home Appliances,Microwave Oven,Falcon Co,2,37390.8,74781.6,60217.72,14563.880000000005,19.475218502947254
ORD-00133,2026-05-11,Karachi,Furniture,Office Chair,Indus Traders,3,39322.45,117967.35,82862.67,35104.68000000001,29.75796269052412
ORD-00457,2026-01-25,Rawalpindi,Unknown,Keyboard,Horizon Stores,2,12751.77,25503.54,15157.18,10346.36,40.568328945707144
ORD-00485,2026-06-23,Multan,Electronics,Wireless Earbuds,Prime Ltd,3,14783.56,44350.68,26117.91,18232.77,41.110463244306516
ORD-00143,2026-04-09,Faisalabad,Clothing,Formal Shirt,Unknown,4,6807.37,27229.48,15380.2,11849.279999999999,43.51636535108272
ORD-00279,2026-06-01,Faisalabad,Office Supplies,Notebook Pack,Royal Co,2,1712.63,3425.26,2149.6,1275.6600000000003,37.24272026065175
ORD-00568,2026-01-21,Islamabad,Electronics,Wireless Earbuds,Indus Stores,6,13882.34,83294.04,56356.2,26937.839999999997,32.3406572667144
ORD-00186,2026-04-22,Rawalpindi,Electronics,Monitor,Beta Solutions,6,50947.38,305684.28,224347.98,81336.30000000002,26.607943332905442
ORD-00501,2026-05-18,Karachi,Office Supplies,Printer Paper Box,Khyber Traders,1,3941.69,3941.69,2981.57,960.1199999999999,24.358079909886364
ORD-00245,2026-04-18,Unknown,Electronics,Smartphone,Alpha Industries,1,104348.57,104348.57,79499.3,24849.270000000004,23.8137139780641
ORD-00146,2026-02-15,Karachi,Electronics,Keyboard,Unity Ltd,6,13344.8,80068.8,48084.06,31984.740000000005,39.946570948983876
ORD-00185,2026-04-06,Lahore,Electronics,Smartphone,Green Traders,3,98694.25,296082.75,238219.23,57863.51999999999,19.543023023124444
ORD-00074,2026-04-23,Multan,Clothing,Polo Shirt,Crescent Co,3,5129.5,15388.5,8416.2,6972.299999999999,45.30850960132566
ORD-00555,2026-06-23,Karachi,Office Supplies,Notebook Pack,Metro Enterprises,3,1746.1,5238.3,3332.7,1905.6000000000004,36.37821430616804
ORD-00354,2026-05-29,Islamabad,Furniture,Office Chair,Prime Solutions,4,40253.25,161013.0,102851.24,58161.759999999995,36.122400054653966
ORD-00560,2026-12-06,Karachi,Clothing,Formal Shirt,Alpha Ltd,5,6601.32,33006.6,19322.1,13684.5,41.459889840213776
ORD-00490,2026-06-18,Islamabad,Electronics,Smartphone,Horizon Mart,2,98659.27,197318.54,155034.36,42284.18000000002,21.429400399982697
ORD-00348,2026-05-29,Islamabad,Clothing,Trousers,West Solutions,3,7994.02,23982.06,15555.39,8426.670000000002,35.13739019917389
ORD-00563,2026-01-07,Karachi,Home Appliances,Microwave Oven,Royal Co,3,38606.66,115819.98,93846.51,21973.47,18.972089271643807
ORD-00529,2026-06-07,Faisalabad,Office Supplies,Printer Paper Box,Metro Solutions,4,4064.78,16259.12,11773.76,4485.360000000001,27.58673286131107
ORD-00331,2026-06-14,Unknown,Clothing,Polo Shirt,Pak Enterprises,1,4751.18,4751.18,2709.84,2041.3400000000001,42.96490556030291
ORD-00317,2026-02-05,Lahore,Electronics,Keyboard,Indus Enterprises,5,12097.14,60485.7,40499.8,19985.899999999994,33.04235546583737
ORD-00084,2026-06-17,Karachi,Electronics,Smartphone,Nexus Traders,3,101834.37,305503.11,234015.93,71487.18,23.39982070886283
ORD-00558,2026-02-01,Multan,Clothing,Trousers,Pak Co,2,8569.26,17138.52,10694.08,6444.4400000000005,37.602079992904876
ORD-00341,2026-04-02,Faisalabad,Clothing,Formal Shirt,Delta Stores,3,6464.85,19394.55,11837.55,7557.0,38.96455447535519
ORD-00018,2026-02-19,Karachi,Office Supplies,Ink Cartridge,Vertex Ltd,6,9560.9,57365.4,42143.22,15222.18,26.5354726019517
